Frame,lane1 X,lane1 Y,lane1 Z,lane1 pitch,lane1 yaw,lane1 roll,lane2 X,lane2 Y,lane2 Z,lane2 pitch,lane2 yaw,lane2 roll,lane3 X,lane3 Y,lane3 Z,lane3 pitch,lane3 yaw,lane3 roll,lane4 X,lane4 Y,lane4 Z,lane4 pitch,lane4 yaw,lane4 roll
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-5.900000095367432,150.14999389648438,0.28189998865127563,0.0,89.99998474121094,0.0,-9.25,150.14999389648438,0.28189998865127563,0.0,89.99998474121094,0.0,-13.029999732971191,150.14999389648438,0.28189998865127563,0.0,89.99998474121094,0.0,-16.25,150.14999389648438,0.28189998865127563,0.0,89.99998474121094,0.0
2,-5.900000095367432,150.14999389648438,0.2655711770057678,0.0,89.99998474121094,0.0,-9.25,150.14999389648438,0.2655711770057678,0.0,89.99998474121094,0.0,-13.029999732971191,150.14999389648438,0.2655711770057678,0.0,89.99998474121094,0.0,-16.25,150.14999389648438,0.2655711770057678,0.0,89.99998474121094,0.0
3,-5.900000095367432,150.14999389648438,0.2247587889432907,0.0,89.99998474121094,0.0,-9.25,150.14999389648438,0.2247587889432907,0.0,89.99998474121094,0.0,-13.029999732971191,150.14999389648438,0.2247587889432907,0.0,89.99998474121094,0.0,-16.25,150.14999389648438,0.2247587889432907,0.0,89.99998474121094,0.0
4,-5.900000095367432,150.14999389648438,0.15947481989860535,0.0,89.99998474121094,0.0,-9.25,150.14999389648438,0.15947481989860535,0.0,89.99998474121094,0.0,-13.029999732971191,150.14999389648438,0.15947481989860535,0.0,89.99998474121094,0.0,-16.25,150.14999389648438,0.15947481989860535,0.0,89.99998474121094,0.0
5,-5.90000057220459,150.14999389648438,0.08895690739154816,0.0,89.99998474121094,0.0,-9.25,150.14999389648438,0.08895690739154816,0.0,89.99998474121094,0.0,-13.030000686645508,150.14999389648438,0.08895690739154816,0.0,89.99998474121094,0.0,-16.25,150.14999389648438,0.08895690739154816,0.0,89.99998474121094,0.0
6,-5.900001049041748,150.14999389648438,0.04827270284295082,0.0,89.99998474121094,0.0,-9.250000953674316,150.14999389648438,0.04827270284295082,0.0,89.99998474121094,0.0,-13.030000686645508,150.14999389648438,0.04827270284295082,0.0,89.99998474121094,0.0,-16.25,150.14999389648438,0.04827270284295082,0.0,89.99998474121094,0.0
7,-5.900001049041748,150.14999389648438,0.02663135528564453,0.0,89.99998474121094,0.0,-9.250000953674316,150.14999389648438,0.02663135528564453,0.0,89.99998474121094,0.0,-13.030000686645508,150.14999389648438,0.02663135528564453,0.0,89.99998474121094,0.0,-16.25,150.14999389648438,0.02663135528564453,0.0,89.99998474121094,0.0
8,-5.900001049041748,150.14999389648438,0.01643962785601616,0.0,89.99998474121094,0.0,-9.250000953674316,150.14999389648438,0.016439666971564293,0.0,89.99998474121094,0.0,-13.030000686645508,150.14999389648438,0.01643962785601616,0.0,89.99998474121094,0.0,-16.25,150.14999389648438,0.01643962785601616,0.0,89.99998474121094,0.0
9,-5.900001049041748,150.14999389648438,0.012896537780761719,0.0,89.99998474121094,0.0,-9.250000953674316,150.14999389648438,0.012896575964987278,0.0,89.99998474121094,0.0,-13.030000686645508,150.14999389648438,0.012896537780761719,0.0,89.99998474121094,0.0,-16.25,150.14999389648438,0.012896537780761719,0.0,89.99998474121094,0.0
10,-5.900001049041748,150.14999389648438,0.01301578525453806,0.0,89.99998474121094,0.0,-9.250000953674316,150.14999389648438,0.013015823438763618,0.0,89.99998474121094,0.0,-13.030000686645508,150.14999389648438,0.01301578525453806,0.0,89.99998474121094,0.0,-16.25,150.14999389648438,0.01301578525453806,0.0,89.99998474121094,0.0
11,-5.900001049041748,150.14999389648438,0.01497932430356741,0.0,89.99998474121094,0.0,-9.250000953674316,150.14999389648438,0.01497932430356741,0.0,89.99998474121094,0.0,-13.030000686645508,150.14999389648438,0.01497932430356741,0.0,89.99998474121094,0.0,-16.25,150.14999389648438,0.01497928611934185,0.0,89.99998474121094,0.0
12,-5.900001049041748,150.14999389648438,0.017712553963065147,0.0,89.99998474121094,0.0,-9.250000953674316,150.14999389648438,0.01771259307861328,0.0,89.99998474121094,0.0,-13.030000686645508,150.14999389648438,0.017712553963065147,0.0,89.99998474121094,0.0,-16.25,150.14999389648438,0.017712553963065147,0.0,89.99998474121094,0.0
13,-5.900001049041748,150.14999389648438,0.02060718461871147,0.0,89.99998474121094,0.0,-9.250000953674316,150.14999389648438,0.020607223734259605,0.0,89.99998474121094,0.0,-13.030000686645508,150.14999389648438,0.02060718461871147,0.0,89.99998474121094,0.0,-16.25,150.14999389648438,0.02060718461871147,0.0,89.99998474121094,0.0
14,-5.900001049041748,150.14999389648438,0.023341674357652664,0.0,89.99998474121094,0.0,-9.250000953674316,150.14999389648438,0.02334171161055565,0.0,89.99998474121094,0.0,-13.030000686645508,150.14999389648438,0.023341674357652664,0.0,89.99998474121094,0.0,-16.25,150.14999389648438,0.023341674357652664,0.0,89.99998474121094,0.0
15,-5.900001049041748,150.14999389648438,0.025766678154468536,0.0,89.99998474121094,0.0,-9.250000953674316,150.14999389648438,0.025766678154468536,0.0,89.99998474121094,0.0,-13.030000686645508,150.14999389648438,0.025766678154468536,0.0,89.99998474121094,0.0,-16.25,150.14999389648438,0.025766678154468536,0.0,89.99998474121094,0.0
16,-5.900001049041748,150.14999389648438,0.027832260355353355,0.0,89.99998474121094,0.0,-9.250000953674316,150.14999389648438,0.027832336723804474,0.0,89.99998474121094,0.0,-13.030000686645508,150.14999389648438,0.027832260355353355,0.0,89.99998474121094,0.0,-16.25,150.14999389648438,0.02783229760825634,0.0,89.99998474121094,0.0
17,-5.900001049041748,150.14999389648438,0.029543379321694374,0.0,89.99998474121094,0.0,-9.250000953674316,150.14999389648438,0.029543379321694374,0.0,89.99998474121094,0.0,-13.030000686645508,150.14999389648438,0.029543379321694374,0.0,89.99998474121094,0.0,-16.25,150.14999389648438,0.029543379321694374,0.0,89.99998474121094,0.0
18,-5.900001049041748,150.14999389648438,0.030932005494832993,0.0,89.99998474121094,0.0,-9.250000953674316,150.14999389648438,0.030932044610381126,0.0,89.99998474121094,0.0,-13.030000686645508,150.14999389648438,0.030932005494832993,0.0,89.99998474121094,0.0,-16.25,150.14999389648438,0.030932005494832993,0.0,89.99998474121094,0.0
19,-5.900001049041748,150.14999389648438,0.032041359692811966,0.0,89.99998474121094,0.0,-9.250000953674316,150.14999389648438,0.032041359692811966,0.0,89.99998474121094,0.0,-13.030000686645508,150.14999389648438,0.032041359692811966,0.0,89.99998474121094,0.0,-16.25,150.14999389648438,0.032041359692811966,0.0,89.99998474121094,0.0
20,-5.900001049041748,150.14999389648438,0.0329166017472744,0.0,89.99998474121094,0.0,-9.250000953674316,150.14999389648438,0.0329166017472744,0.0,89.99998474121094,0.0,-13.030000686645508,150.14999389648438,0.0329166017472744,0.0,89.99998474121094,0.0,-16.25,150.14999389648438,0.0329166017472744,0.0,89.99998474121094,0.0
21,-5.900001049041748,150.14999389648438,0.03360023349523544,0.0,89.99998474121094,0.0,-9.250000953674316,150.14999389648438,0.03360023349523544,0.0,89.99998474121094,0.0,-13.030000686645508,150.14999389648438,0.03360023349523544,0.0,89.99998474121094,0.0,-16.25,150.14999389648438,0.03360023349523544,0.0,89.99998474121094,0.0
22,-5.900001049041748,150.14999389648438,0.03412971273064613,0.0,89.99998474121094,0.0,-9.250000953674316,150.14999389648438,0.03412971273064613,0.0,89.99998474121094,0.0,-13.030000686645508,150.14999389648438,0.03412971273064613,0.0,89.99998474121094,0.0,-16.25,150.14999389648438,0.03412967547774315,0.0,89.99998474121094,0.0
23,-5.900001049041748,150.14999389648438,0.03453685715794563,0.0,89.99998474121094,0.0,-9.250000953674316,150.14999389648438,0.0345369316637516,0.0,89.99998474121094,0.0,-13.030000686645508,150.14999389648438,0.03453685715794563,0.0,89.99998474121094,0.0,-16.25,150.14999389648438,0.03453685715794563,0.0,89.99998474121094,0.0
24,-5.900001049041748,150.14999389648438,0.03484809771180153,0.0,89.99998474121094,0.0,-9.250000953674316,150.14999389648438,0.0348481759428978,0.0,89.99998474121094,0.0,-13.030000686645508,150.14999389648438,0.03484809771180153,0.0,89.99998474121094,0.0,-16.25,150.14999389648438,0.03484809771180153,0.0,89.99998474121094,0.0
25,-5.900001049041748,150.14999389648438,0.0350847989320755,0.0,89.99998474121094,0.0,-9.250000953674316,150.14999389648438,0.035084839910268784,0.0,89.99998474121094,0.0,-13.030000686645508,150.14999389648438,0.0350847989320755,0.0,89.99998474121094,0.0,-16.25,150.14999389648438,0.0350847989320755,0.0,89.99998474121094,0.0
26,-5.900001049041748,150.14999389648438,0.03526393696665764,0.0,89.99998474121094,0.0,-9.250000953674316,150.14999389648438,0.03526397794485092,0.0,89.99998474121094,0.0,-13.030000686645508,150.14999389648438,0.03526393696665764,0.0,89.99998474121094,0.0,-16.25,150.14999389648438,0.03526393696665764,0.0,89.99998474121094,0.0
27,-5.900001049041748,150.14999389648438,0.03539897873997688,0.0,89.99998474121094,0.0,-9.250000953674316,150.14999389648438,0.03539901599287987,0.0,89.99998474121094,0.0,-13.030000686645508,150.14999389648438,0.03539897873997688,0.0,89.99998474121094,0.0,-16.25,150.14999389648438,0.03539901599287987,0.0,89.99998474121094,0.0
28,-5.900001049041748,150.14999389648438,0.03550044819712639,0.0,89.99998474121094,0.0,-9.250000953674316,150.14999389648438,0.03550044819712639,0.0,89.99998474121094,0.0,-13.030000686645508,150.14999389648438,0.03550044819712639,0.0,89.99998474121094,0.0,-16.25,150.14999389648438,0.035500410944223404,0.0,89.99998474121094,0.0
29,-5.900001049041748,150.14999389648438,0.035633087158203125,0.0,89.99998474121094,0.0,-9.250000953674316,150.14999389648438,0.035633087158203125,0.0,89.99998474121094,0.0,-13.030000686645508,150.14999389648438,0.035633087158203125,0.0,89.99998474121094,0.0,-16.25,150.14999389648438,0.035633087158203125,0.0,89.99998474121094,0.0
30,-5.900001049041748,150.14999389648438,0.035675276070833206,0.0,89.99998474121094,0.0,-9.250000953674316,150.14999389648438,0.035675276070833206,0.0,89.99998474121094,0.0,-13.030000686645508,150.14999389648438,0.035675276070833206,0.0,89.99998474121094,0.0,-16.25,150.14999389648438,0.035675276070833206,0.0,89.99998474121094,0.0
31,-5.900001049041748,150.14999389648438,0.03570663556456566,0.0,89.99998474121094,0.0,-9.250000953674316,150.14999389648438,0.03570663556456566,0.0,89.99998474121094,0.0,-13.030000686645508,150.14999389648438,0.03570663556456566,0.0,89.99998474121094,0.0,-16.25,150.14999389648438,0.03570663556456566,0.0,89.99998474121094,0.0
32,-5.900001049041748,150.14999389648438,0.03572986647486687,0.0,89.99998474121094,0.0,-9.250000953674316,150.14999389648438,0.03572986647486687,0.0,89.99998474121094,0.0,-13.030000686645508,150.14999389648438,0.03572986647486687,0.0,89.99998474121094,0.0,-16.25,150.14999389648438,0.03572986647486687,0.0,89.99998474121094,0.0
33,-5.900001049041748,150.14999389648438,0.035746991634368896,0.0,89.99998474121094,0.0,-9.250000953674316,150.14999389648438,0.03574703261256218,0.0,89.99998474121094,0.0,-13.030000686645508,150.14999389648438,0.035746991634368896,0.0,89.99998474121094,0.0,-16.25,150.14999389648438,0.035746991634368896,0.0,89.99998474121094,0.0
34,-5.900001049041748,150.14999389648438,0.03575969487428665,0.0,89.99998474121094,0.0,-9.250000953674316,150.14999389648438,0.03575969487428665,0.0,89.99998474121094,0.0,-13.030000686645508,150.14999389648438,0.03575969487428665,0.0,89.99998474121094,0.0,-16.25,150.14999389648438,0.03575969487428665,0.0,89.99998474121094,0.0
35,-5.900001049041748,150.14999389648438,0.03576904162764549,0.0,89.99998474121094,0.0,-9.250000953674316,150.14999389648438,0.03576907888054848,0.0,89.99998474121094,0.0,-13.030000686645508,150.14999389648438,0.03576904162764549,0.0,89.99998474121094,0.0,-16.25,150.14999389648438,0.03576904162764549,0.0,89.99998474121094,0.0
36,-5.900001049041748,150.14999389648438,0.035775985568761826,0.0,89.99998474121094,0.0,-9.250000953674316,150.14999389648438,0.03577590733766556,0.0,89.99998474121094,0.0,-13.030000686645508,150.14999389648438,0.03577590733766556,0.0,89.99998474121094,0.0,-16.25,150.14999389648438,0.03577590733766556,0.0,89.99998474121094,0.0
37,-5.900001049041748,150.14999389648438,0.03578098118305206,0.0,89.99998474121094,0.0,-9.250000953674316,150.14999389648438,0.03578098118305206,0.0,89.99998474121094,0.0,-13.030000686645508,150.14999389648438,0.03578098118305206,0.0,89.99998474121094,0.0,-16.25,150.14999389648438,0.03578098118305206,0.0,89.99998474121094,0.0
38,-5.900001049041748,150.14999389648438,0.035784684121608734,0.0,89.99998474121094,0.0,-9.250000953674316,150.14999389648438,0.035784684121608734,0.0,89.99998474121094,0.0,-13.030000686645508,150.14999389648438,0.035784684121608734,0.0,89.99998474121094,0.0,-16.25,150.14999389648438,0.035784684121608734,0.0,89.99998474121094,0.0
39,-5.900001049041748,150.14999389648438,0.035787392407655716,0.0,89.99998474121094,0.0,-9.250000953674316,150.14999389648438,0.035787392407655716,0.0,89.99998474121094,0.0,-13.030000686645508,150.14999389648438,0.035787392407655716,0.0,89.99998474121094,0.0,-16.25,150.14999389648438,0.035787392407655716,0.0,89.99998474121094,0.0
40,-5.900001049041748,150.14999389648438,0.03578933700919151,0.0,89.99998474121094,0.0,-9.250000953674316,150.14999389648438,0.0357893742620945,0.0,89.99998474121094,0.0,-13.030000686645508,150.14999389648438,0.035789452493190765,0.0,89.99998474121094,0.0,-16.25,150.14999389648438,0.03578933700919151,0.0,89.99998474121094,0.0
41,-5.900001049041748,150.14999389648438,0.035790786147117615,0.0,89.99998474121094,0.0,-9.250000953674316,150.14999389648438,0.035790786147117615,0.0,89.99998474121094,0.0,-13.030000686645508,150.14999389648438,0.035790860652923584,0.0,89.99998474121094,0.0,-16.25,150.14999389648438,0.035790786147117615,0.0,89.99998474121094,0.0
42,-5.900001049041748,150.14999389648438,0.03579181432723999,0.0,89.99998474121094,0.0,-9.250000953674316,150.14999389648438,0.03579181432723999,0.0,89.99998474121094,0.0,-13.030000686645508,150.14999389648438,0.035790860652923584,0.0,89.99998474121094,0.0,-16.25,150.14999389648438,0.03579189255833626,0.0,89.99998474121094,0.0
43,-5.900001049041748,150.14999389648438,0.03579181432723999,0.0,89.99998474121094,0.0,-9.250000953674316,150.14999389648438,0.03579181432723999,0.0,89.99998474121094,0.0,-13.030000686645508,150.14999389648438,0.035790860652923584,0.0,89.99998474121094,0.0,-16.25,150.14999389648438,0.03579189255833626,0.0,89.99998474121094,0.0
44,-5.900001049041748,150.14999389648438,0.03579181432723999,0.0,89.99998474121094,0.0,-9.250000953674316,150.14999389648438,0.03579181432723999,0.0,89.99998474121094,0.0,-13.030000686645508,150.14999389648438,0.035790860652923584,0.0,89.99998474121094,0.0,-16.25,150.14999389648438,0.03579189255833626,0.0,89.99998474121094,0.0
